,level_0,index,close,high,low,open,s,t,v
70,29,2018-07-14 09:00:00,6238.0,6274.0,6212.5,6213.0,ok,1531526400.0,115244974.0
71,28,2018-07-14 08:00:00,6213.0,6239.5,6196.5,6217.0,ok,1531522800.0,50254956.0
72,27,2018-07-14 07:00:00,6217.0,6224.5,6191.0,6211.0,ok,1531519200.0,43670912.0
73,26,2018-07-14 06:00:00,6211.0,6245.5,6184.5,6186.5,ok,1531515600.0,72788042.0
74,25,2018-07-14 05:00:00,6186.5,6214.5,6111.0,6179.0,ok,1531512000.0,212678608.0
75,24,2018-07-14 04:00:00,6179.0,6239.0,6161.0,6236.5,ok,1531508400.0,231487616.0
76,23,2018-07-14 03:00:00,6236.5,6350.0,6231.0,6264.5,ok,1531504800.0,271649664.0
77,22,2018-07-14 02:00:00,6264.5,6265.0,6252.0,6255.5,ok,1531501200.0,37451025.0
78,21,2018-07-14 01:00:00,6255.5,6265.0,6243.0,6256.0,ok,1531497600.0,71501366.0
79,20,2018-07-14 00:00:00,6256.0,6256.0,6243.5,6243.5,ok,1531494000.0,27048408.0
80,19,2018-07-13 23:00:00,6243.5,6261.0,6224.5,6236.0,ok,1531490400.0,82858047.0
81,18,2018-07-13 22:00:00,6236.0,6264.5,6235.0,6263.5,ok,1531486800.0,67845146.0
82,17,2018-07-13 21:00:00,6263.5,6280.0,6238.0,6240.0,ok,1531483200.0,114335447.0
83,16,2018-07-13 20:00:00,6240.0,6240.0,6230.5,6231.0,ok,1531479600.0,22226915.0
84,15,2018-07-13 19:00:00,6231.0,6235.5,6229.5,6229.5,ok,1531476000.0,14877928.0
85,14,2018-07-13 18:00:00,6229.5,6233.5,6227.0,6227.5,ok,1531472400.0,18309756.0
86,13,2018-07-13 17:00:00,6227.5,6240.5,6227.0,6240.5,ok,1531468800.0,22624250.0
87,12,2018-07-13 16:00:00,6240.5,6240.5,6229.5,6229.5,ok,1531465200.0,30215525.0
88,11,2018-07-13 15:00:00,6229.5,6240.5,6211.0,6240.5,ok,1531461600.0,67089080.0
89,10,2018-07-13 14:00:00,6240.5,6247.5,6235.5,6237.5,ok,1531458000.0,30131345.0
90,9,2018-07-13 13:00:00,6237.5,6252.0,6234.5,6239.5,ok,1531454400.0,41315028.0
91,8,2018-07-13 12:00:00,6239.5,6243.5,6234.0,6234.5,ok,1531450800.0,20746235.0
92,7,2018-07-13 11:00:00,6234.5,6246.0,6231.5,6234.5,ok,1531447200.0,43352025.0
93,6,2018-07-13 10:00:00,6234.5,6245.5,6233.0,6239.5,ok,1531443600.0,33222787.0
94,5,2018-07-13 09:00:00,6239.5,6278.0,6221.0,6246.5,ok,1531440000.0,151301762.0
95,4,2018-07-13 08:00:00,6246.5,6282.0,6065.0,6152.5,ok,1531436400.0,382962550.0
96,3,2018-07-13 07:00:00,6152.5,6169.0,6122.0,6169.0,ok,1531432800.0,94751077.0
97,2,2018-07-13 06:00:00,6169.0,6169.0,6156.0,6169.0,ok,1531429200.0,27129043.0
98,1,2018-07-13 05:00:00,6169.0,6184.0,6167.5,6174.5,ok,1531425600.0,32902230.0
99,0,2018-07-13 04:00:00,6174.5,6177.5,6154.5,6168.0,ok,1531422000.0,43567597.0
100,49,2018-07-13 03:00:00,6168.0,6179.0,6165.0,6174.0,ok,1531418400.0,22388122.0
101,48,2018-07-13 02:00:00,6174.0,6184.0,6169.5,6181.0,ok,1531414800.0,30934968.0
102,47,2018-07-13 01:00:00,6181.0,6185.0,6164.5,6165.5,ok,1531411200.0,58017628.0
103,46,2018-07-13 00:00:00,6165.5,6179.5,6156.0,6176.5,ok,1531407600.0,66023034.0
104,45,2018-07-12 23:00:00,6176.5,6198.0,6173.5,6178.5,ok,1531404000.0,75477459.0
105,44,2018-07-12 22:00:00,6178.5,6181.5,6171.0,6175.0,ok,1531400400.0,36007126.0
106,43,2018-07-12 21:00:00,6175.0,6189.0,6158.0,6166.5,ok,1531396800.0,77640605.0
107,42,2018-07-12 20:00:00,6166.5,6181.5,6143.5,6175.0,ok,1531393200.0,97341725.0
108,41,2018-07-12 19:00:00,6175.0,6183.0,6151.5,6183.0,ok,1531389600.0,76021914.0
109,40,2018-07-12 18:00:00,6183.0,6208.0,6172.5,6195.0,ok,1531386000.0,95911897.0
110,39,2018-07-12 17:00:00,6195.0,6195.0,6122.0,6175.0,ok,1531382400.0,165778424.0
111,38,2018-07-12 16:00:00,6175.0,6218.5,6140.0,6213.5,ok,1531378800.0,223701324.0
112,37,2018-07-12 15:00:00,6213.5,6332.0,6160.0,6329.0,ok,1531375200.0,424884799.0
113,36,2018-07-12 14:00:00,6329.0,6331.5,6307.0,6331.0,ok,1531371600.0,63094776.0
114,35,2018-07-12 13:00:00,6331.0,6342.5,6330.5,6340.5,ok,1531368000.0,18687915.0
115,34,2018-07-12 12:00:00,6340.5,6343.0,6327.5,6328.0,ok,1531364400.0,28180125.0
116,33,2018-07-12 11:00:00,6328.0,6352.0,6300.0,6328.0,ok,1531360800.0,145533723.0
117,32,2018-07-12 10:00:00,6328.0,6363.5,6325.5,6363.5,ok,1531357200.0,51771417.0
118,31,2018-07-12 09:00:00,6363.5,6371.0,6348.0,6371.0,ok,1531353600.0,41606013.0
119,30,2018-07-12 08:00:00,6371.0,6371.0,6359.5,6361.5,ok,1531350000.0,23190817.0
120,29,2018-07-12 07:00:00,6361.5,6373.0,6356.5,6363.0,ok,1531346400.0,32999200.0
121,28,2018-07-12 06:00:00,6363.0,6371.5,6347.0,6354.0,ok,1531342800.0,48715731.0
122,27,2018-07-12 05:00:00,6354.0,6374.5,6344.5,6347.0,ok,1531339200.0,64663861.0
123,26,2018-07-12 04:00:00,6347.0,6350.0,6281.0,6345.0,ok,1531335600.0,110317177.0
124,25,2018-07-12 03:00:00,6345.0,6353.5,6340.5,6349.5,ok,1531332000.0,17109346.0
125,24,2018-07-12 02:00:00,6349.5,6370.5,6345.0,6349.0,ok,1531328400.0,60317556.0
126,23,2018-07-12 01:00:00,6349.0,6361.5,6330.5,6361.5,ok,1531324800.0,60970071.0
127,22,2018-07-12 00:00:00,6361.5,6365.0,6351.0,6364.5,ok,1531321200.0,32237638.0
128,21,2018-07-11 23:00:00,6364.5,6370.0,6331.0,6370.0,ok,1531317600.0,75956126.0
129,20,2018-07-11 22:00:00,6370.0,6385.0,6357.5,6369.0,ok,1531314000.0,79280629.0
130,19,2018-07-11 21:00:00,6369.0,6376.0,6354.5,6366.0,ok,1531310400.0,51383880.0
131,18,2018-07-11 20:00:00,6366.0,6388.5,6347.0,6347.0,ok,1531306800.0,94725695.0
132,17,2018-07-11 19:00:00,6347.0,6348.0,6327.5,6337.0,ok,1531303200.0,40001274.0
133,16,2018-07-11 18:00:00,6337.0,6369.5,6315.0,6369.5,ok,1531299600.0,90440558.0
134,15,2018-07-11 17:00:00,6369.5,6374.0,6341.5,6342.0,ok,1531296000.0,83611089.0
135,14,2018-07-11 16:00:00,6342.0,6362.0,6310.0,6310.0,ok,1531292400.0,87023566.0
